
These predictions were generated by SubDyn on 10-Jul-2022 at 18:26:26.




    Time	   M1N1FKze	   M1N2FKze	   M4N1FKze	   M4N2FKze	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss	  M2N2TDxss	  M3N1TDxss	  M3N2TDxss	  M4N1TDxss	  M4N2TDxss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	   IntfFXss	   IntfFYss	   IntfFZss	   IntfMXss	   IntfMZss	   M3N2FKxe	   M2N1FKye	   M2N2FKye	   M2N1FMxe	   M2N1FMye	   M2N1FMze
       s	        (N)	        (N)	        (N)	        (N)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)
    0.0900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.1800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
